[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,28.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,06/29/2021

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
LastDetect,3,0,0,0,0,0,0,0,0,0,0,0,0,,
DetectPhase1,3,5,2,2,1,6,6,7,4,4,3,8,8,,
DetectPhase2,3,0,0,0,0,0,0,0,0,0,0,0,0,,
DetectPhase3,3,0,0,0,0,0,0,0,0,0,0,0,0,,
DetectPhase4,3,0,0,0,0,0,0,0,0,0,0,0,0,,
SwitchPhase,3,0,0,0,0,0,0,0,0,0,0,0,0,,
numDetects,3,1,2,1,1,2,1,1,2,1,1,2,1,,
DetectPos1,3,0,0,0,0,0,0,0,0,0,0,0,0,,
DetectSize1,3,20,6,20,20,6,20,20,6,20,20,6,20,,
DetectType1,3,3,3,3,3,3,3,3,3,3,3,3,3,,
DetectExtend1,3,0,0,0,0,0,0,0,0,0,0,0,0,,
DetectQueue1,3,0,0,0,0,0,0,0,0,0,0,0,0,,
DetectDelay1,3,0,0,0,0,0,0,0,0,0,0,0,0,,
DetectPos2,3,,94,,,94,,,94,,,94,,,
DetectSize2,3,,6,,,6,,,6,,,6,,,
DetectType2,3,,3,,,3,,,3,,,3,,,
DetectExtend2,3,,0,,,0,,,0,,,0,,,
Exit Lanes,3,,0,,,0,,,0,,,0,,,
CBD,3,,0,,,,,,,,,,,,
Lane Group Flow,3,137,346,203,270,113,98,99,39,52,283,80,707,,

[Timeplans]
Timing Plan Settings
RECORDNAME,INTID,DATA
Control Type,3,3
Cycle Length,3,105.0
Lock Timings,3,0
Referenced To,3,0
Reference Phase,3,206
Offset,3,0.0
Master,3,0
Yield,3,0
Node 0,3,3
Node 1,3,0

[Phases]
Phasing Data
RECORDNAME,INTID,D1,D2,D3,D4,D5,D6,D7,D8
BRP,3,111,112,211,212,121,122,221,222
MinGreen,3,5,5,5,5,5,5,5,5
MaxGreen,3,5.5,36.6,5.5,35,6,37.8,5.1,35.4
VehExt,3,3,3,3,3,3,3,3,3
TimeBeforeReduce,3,0,0,0,0,0,0,0,0
TimeToReduce,3,0,0,0,0,0,0,0,0
MinGap,3,3,3,3,3,3,3,3,3
Yellow,3,3.5,3.5,3.5,3,3,3.5,3,3.5
AllRed,3,1,2.2,1,4.7,1,1,4.7,1
Recall,3,0,3,0,0,0,3,0,0
Walk,3,,7,,7,,7,,7
DontWalk,3,,28,,28,,28,,28
PedCalls,3,,0,,0,,0,,0
MinSplit,3,9.5,40.7,9.5,42.7,9.5,39.5,12.7,39.5
DualEntry,3,0,1,0,1,0,1,0,1
InhibitMax,3,1,1,1,1,1,1,1,1
Start,3,95,0,42.3,52.3,95,0,42.3,55.1
End,3,0,42.3,52.3,95,0,42.3,55.1,95
Yield,3,100.5,36.6,47.8,87.3,101,37.8,47.4,90.5
Yield170,3,100.5,8.6,47.8,87.3,101,9.8,47.4,90.5
LocalStart,3,95,0,42.3,52.3,95,0,42.3,55.1
LocalYield,3,100.5,36.6,47.8,87.3,101,37.8,47.4,90.5
LocalYield170,3,100.5,8.6,47.8,87.3,101,9.8,47.4,90.5
ActGreen,3,18.8,44,8.3,11.5,18.5,46,5.1,14.7

